lat,long,order
-10.719443,142.46683,1
-10.717371,142.490241,2
-10.713997,142.505347,3
-10.705901,142.513587,4
-10.699154,142.512214,5
-10.696455,142.530753,6
-10.690383,142.532127,7
-10.705901,142.53968,8
-10.711973,142.545173,9
-10.721419,142.557533,10
-10.728165,142.563026,11
-10.726816,142.567832,12
-10.732213,142.570579,13
-10.732213,142.579505,14
-10.732888,142.590491,15
-10.740983,142.591178,16
-10.74638,142.604224,17
-10.752452,142.607658,18
-10.759872,142.597358,19
-10.765268,142.594611,20
-10.773363,142.587058,21
-10.781458,142.583625,22
-10.788877,142.578132,23
-10.792924,142.571265,24
-10.805739,142.563712,25
-10.824624,142.553413,26
-10.834066,142.54586,27
-10.840135,142.53762,28
-10.842833,142.528693,29
-10.842833,142.51702,30
-10.860367,142.512901,31
-10.880596,142.510841,32
-10.892733,142.51496,33
-10.904196,142.515647,34
-10.914984,142.509467,35
-10.919703,142.497108,36
-10.90959,142.491615,37
-10.904196,142.484748,38
-10.914309,142.488868,39
-10.921726,142.498481,40
-10.93521,142.498481,41
-10.944648,142.508781,42
-10.9224,142.53144,43
-10.929816,142.538306,44
-10.90959,142.543113,45
-10.882619,142.554099,46
-10.877225,142.560966,47
-10.873853,142.573325,48
-10.881271,142.582938,49
-10.870482,142.587745,50
-10.886665,142.615897,51
-10.900825,142.613837,52
-10.915658,142.616584,53
-10.941277,142.607658,54
-10.941951,142.621391,55
-10.938581,142.636497,56
-10.945996,142.666022,57
-10.952738,142.672889,58
-10.962176,142.665336,59
-10.967568,142.666709,60
-10.975775,142.699221,61
-10.962293,142.716387,62
-10.971056,142.720507,63
-10.990605,142.74042,64
-11.008803,142.750719,65
-11.026327,142.747286,66
-11.047219,142.758272,67
-11.058002,142.768572,68
-11.06811,142.781618,69
-11.090347,142.787111,70
-11.11393,142.787111,71
-11.137511,142.789858,72
-11.157722,142.796724,73
-11.176584,142.796038,74
-11.20016,142.791918,75
-11.221039,142.783678,76
-11.255387,142.792605,77
-11.276936,142.790545,78
-11.291077,142.804278,79
-11.293097,142.81801,80
-11.320703,142.83449,81
-11.34494,142.855089,82
-11.361771,142.864702,83
-11.377927,142.863329,84
-11.427935,142.833803,85
-11.450144,142.826937,86
-11.487155,142.82831,87
-11.499267,142.83655,88
-11.538963,142.83243,89
-11.571254,142.839296,90
-11.588071,142.847536,91
-11.649275,142.859209,92
-11.701053,142.859209,93
-11.752149,142.861269,94
-11.770299,142.856463,95
-11.80794,142.855089,96
-11.834152,142.854403,97
-11.862376,142.872255,98
-11.873128,142.887362,99
-11.8738,142.898348,100
-11.895301,142.913454,101
-11.90202,142.93062,102
-11.896645,142.936113,103
-11.910083,142.956713,104
-11.932253,142.976626,105
-11.935612,142.995852,106
-11.938971,143.036364,107
-11.922176,143.067949,108
-11.906723,143.089235,109
-11.892614,143.098848,110
-11.904036,143.116701,111
-11.922176,143.148974,112
-11.950655,143.157213,113
-11.970135,143.16614,114
-11.981554,143.169573,115
-11.960059,143.210772,116
-11.956029,143.216951,117
-11.954685,143.222445,118
-11.96409,143.231371,119
-11.970135,143.245791,120
-11.980883,143.234118,121
-11.988271,143.226565,122
-11.976852,143.214892,123
-11.989614,143.180559,124
-12.01245,143.180559,125
-12.036627,143.16408,126
-12.062145,143.14966,127
-12.094374,143.131807,128
-12.120557,143.113268,129
-12.148752,143.098848,130
-12.158821,143.085802,131
-12.164862,143.077562,132
-12.17493,143.087175,133
-12.188354,143.091982,134
-12.211844,143.089922,135
-12.242042,143.086489,136
-12.26083,143.092669,137
-12.277604,143.085802,138
-12.342678,143.080309,139
-12.345361,143.110521,140
-12.345361,143.128374,141
-12.348044,143.1579,142
-12.35341,143.197039,143
-12.380909,143.229311,144
-12.380909,143.247164,145
-12.39231,143.25609,146
-12.398346,143.26845,147
-12.417793,143.27257,148
-12.436569,143.271883,149
-12.45065,143.27875,150
-12.474787,143.271196,151
-12.490206,143.276003,152
-12.500932,143.27257,153
-12.523053,143.290423,154
-12.543162,143.297289,155
-12.558577,143.313082,156
-12.563939,143.329561,157
-12.56662,143.352221,158
-12.595437,143.399599,159
-12.590076,143.416765,160
-12.603478,143.420199,161
-12.613529,143.418825,162
-12.609509,143.442171,163
-12.61822,143.440111,164
-12.628271,143.433245,165
-12.65976,143.400972,166
-12.678518,143.402346,167
-12.675169,143.416765,168
-12.680528,143.420199,169
-12.694595,143.403719,170
-12.704643,143.396853,171
-12.749518,143.379,172
-12.795055,143.355654,173
-12.834558,143.36046,174
-12.849955,143.352907,175
-12.870707,143.352221,176
-12.896143,143.352907,177
-12.893466,143.365954,178
-12.900159,143.372133,179
-12.890788,143.38312,180
-12.883426,143.38724,181
-12.88878,143.396853,182
-12.865352,143.406466,183
-12.860666,143.425692,184
-12.852633,143.431185,185
-12.847278,143.451784,186
-12.857989,143.464144,187
-12.864013,143.490236,188
-12.857989,143.509462,189
-12.846608,143.515642,190
-12.842591,143.529375,191
-12.839913,143.536242,192
-12.841922,143.543108,193
-12.863344,143.530748,194
-12.874054,143.529375,195
-12.904844,143.512896,196
-12.92693,143.500536,197
-12.951022,143.496416,198
-12.963067,143.510836,199
-12.984478,143.503969,200
-12.995853,143.511522,201
-13.015924,143.511522,202
-13.040007,143.505343,203
-13.044689,143.510836,204
-13.059405,143.506029,205
-13.071445,143.505343,206
-13.113579,143.501909,207
-13.165735,143.514269,208
-13.186461,143.517702,209
-13.225901,143.513582,210
-13.261994,143.514956,211
-13.276029,143.523195,212
-13.297413,143.523882,213
-13.32815,143.528002,214
-13.348194,143.536242,215
-13.365564,143.558214,216
-13.374248,143.576067,217
-13.38026,143.58362,218
-13.406979,143.591173,219
-13.421673,143.596666,220
-13.45974,143.591173,221
-13.505145,143.5795,222
-13.53452,143.58568,223
-13.557217,143.580187,224
-13.584583,143.560274,225
-13.641976,143.544481,226
-13.695352,143.547228,227
-13.720034,143.538302,228
-13.759387,143.530062,229
-13.790064,143.543108,230
-13.824738,143.558901,231
-13.833405,143.576754,232
-13.864073,143.588427,233
-13.894736,143.599413,234
-13.929395,143.609026,235
-13.963381,143.620012,236
-13.988035,143.641298,237
-14.002693,143.666018,238
-14.01202,143.677691,239
-14.039333,143.68387,240
-14.069307,143.69211,241
-14.113262,143.69623,242
-14.150102,143.701723,243
-14.17873,143.696917,244
-14.225326,143.70653,245
-14.266589,143.731936,246
-14.323147,143.740862,247
-14.394988,143.776568,248
-14.432895,143.808153,249
-14.476779,143.872698,250
-14.487416,143.910463,251
-14.483427,143.931749,252
-14.492735,143.944109,253
-14.486087,143.959902,254
-14.49074,143.988054,255
-14.483427,144.016894,256
-14.474784,144.041613,257
-14.461487,144.075945,258
-14.41494,144.12195,259
-14.399644,144.13225,260
-14.402304,144.145296,261
-14.387007,144.150789,262
-14.379025,144.167956,263
-14.337451,144.194735,264
-14.297864,144.200228,265
-14.291876,144.196795,266
-14.275906,144.200915,267
-14.272246,144.196795,268
-14.266589,144.197138,269
-14.2606,144.207438,270
-14.258936,144.215334,271
-14.263927,144.22632,272
-14.269584,144.236963,273
-14.265591,144.245203,274
-14.277902,144.258936,275
-14.29487,144.263743,276
-14.305183,144.286059,277
-14.298862,144.290522,278
-14.307845,144.314554,279
-14.308177,144.335497,280
-14.300858,144.35026,281
-14.29121,144.359873,282
-14.29121,144.376009,283
-14.272911,144.396952,284
-14.262264,144.433344,285
-14.224328,144.464586,286
