"pop","gen","wing"
"Brisbane","G2",3.9571878383449
"Brisbane","G2",3.93881667623903
"Brisbane","G2",3.94598352913821
"Brisbane","G2",3.92046247084213
"Brisbane","G2",3.82372707953271
"Brisbane","G2",3.77484938127015
"Brisbane","G2",3.95502279331679
"Brisbane","G2",3.86056448924182
"Brisbane","G2",3.77003700732055
"Brisbane","G2",3.76765324295325
"Brisbane","G2",4.01139959202932
"Brisbane","G2",3.74396552665336
"Brisbane","G2",4.08053601073383
"Brisbane","G2",3.82493646521217
"Brisbane","G2",3.92140263835019
"Brisbane","G2",3.83015685069812
"Brisbane","G2",3.75690817122374
"Brisbane","G11",3.8029157875417
"Brisbane","G11",3.90590301682967
"Brisbane","G11",3.78318608764808
"Brisbane","G11",3.79583708351137
"Brisbane","G11",3.91472728595215
"Brisbane","G11",3.85028247561412
"Brisbane","G11",3.96686033356054
"Brisbane","G11",3.76242077204551
"Brisbane","G11",3.79401703346319
"Brisbane","G11",3.67719842924151
"Brisbane","G11",3.91848957040788
"Brisbane","G11",3.87253431216168
"Brisbane","G11",3.55943362256175
"Brisbane","G11",3.9080103403541
"Brisbane","G11",3.67253079044046
"Brisbane","G11",3.89811718889437
"Brisbane","G11",3.5494629310211
"Brisbane","G11",3.79627109749438
"Brisbane","G11",3.75311484880294
"Brisbane","G11",3.58582299636059
"Brisbane","G11",3.7069041132927
"Brisbane","G11",3.66268027159428
"Brisbane","G11",3.7005551508406
"Brisbane","G11",3.69968982811349
"Brisbane","G11",3.72876909870205
"Brisbane","G11",3.77281538912982
"Brisbane","G11",3.76787850871139
"Canberra","G2",3.88620574193475
"Canberra","G2",3.75383674218531
"Canberra","G2",3.38451977580765
"Canberra","G2",3.78615966578435
"Canberra","G2",3.8087040010898
"Canberra","G2",3.73252232479603
"Canberra","G2",3.68574866094715
"Canberra","G2",3.85147530002791
"Canberra","G2",3.83312109380335
"Canberra","G2",3.8244650912532
"Canberra","G2",3.90319613748243
"Canberra","G2",3.77615667293732
"Canberra","G2",3.90045679595851
"Canberra","G2",3.76747669644373
"Canberra","G2",3.81184056063769
"Canberra","G2",3.56996891136229
"Canberra","G2",3.50942893935029
"Canberra","G2",3.80874368357051
"Canberra","G2",3.91483264262349
"Canberra","G2",3.55758201191634
"Canberra","G2",3.85894107859709
"Canberra","G2",3.94206890108633
"Canberra","G2",3.70565870204233
"Canberra","G2",3.63055618238251
"Canberra","G2",3.58654316255934
"Canberra","G2",4.03875848433964
"Canberra","G2",3.99466896235869
"Canberra","G2",4.03508758785279
"Canberra","G2",3.70442009248259
"Canberra","G2",3.89538875459887
"Canberra","G2",3.21810472808366
"Canberra","G2",3.67297897771257
"Canberra","G2",3.70803824934835
"Cape Tribulation","G2",3.98886337104101
"Cape Tribulation","G2",4.06896274084209
"Cape Tribulation","G2",3.92725686386831
"Cape Tribulation","G2",3.71133569444092
"Cape Tribulation","G2",3.81048112736913
"Cape Tribulation","G2",3.98738944198674
"Cape Tribulation","G2",3.81366379913365
"Cape Tribulation","G2",3.96968067526816
"Cape Tribulation","G2",3.83823505811965
"Cape Tribulation","G2",3.9833519910704
"Cape Tribulation","G2",3.96874029573218
"Cape Tribulation","G2",3.82726292415109
"Cape Tribulation","G2",3.96127087168985
"Cape Tribulation","G2",3.86536101257189
"Cape Tribulation","G2",3.96794985052014
"Cape Tribulation","G2",3.81321454178638
"Cape Tribulation","G2",3.97622276639033
"Cape Tribulation","G2",3.81127995309278
"Cape Tribulation","G2",3.86610425771362
"Cape Tribulation","G2",3.41509645395039
"Cape Tribulation","G2",3.70192239900171
"Cape Tribulation","G2",3.90468239767214
"Cape Tribulation","G2",3.79641984989407
"Cape Tribulation","G2",3.96952915430374
"Cape Tribulation","G2",4.01417223861105
"Cape Tribulation","G2",3.61234169005775
"Cape Tribulation","G2",3.82197014690865
"Cape Tribulation","G2",3.85290640320348
"Darwin","G2",3.69945503823768
"Darwin","G2",3.77674054169623
"Darwin","G2",3.63037739695707
"Darwin","G2",3.85833593345886
"Darwin","G2",3.69439170339838
"Darwin","G2",3.59636379131678
"Darwin","G2",3.6921551248668
"Darwin","G2",3.66399974590168
"Darwin","G2",3.79457241546143
"Darwin","G2",3.76578851718991
"Darwin","G2",3.43707604530748
"Darwin","G2",3.58665190305214
"Darwin","G11",3.42395667776384
"Darwin","G11",3.5100811928252
"Darwin","G11",3.68997300614984
"Darwin","G11",3.7391261916629
"Darwin","G11",3.66804678728494
"Darwin","G11",3.72869110160268
"Darwin","G11",3.48450444590544
"Darwin","G11",3.45873626809185
"Darwin","G11",3.56905973331216
"Darwin","G11",3.47575572597232
"Darwin","G11",3.5131715501583
"Darwin","G11",3.53801108472603
"Darwin","G11",3.68663200281325
"Darwin","G11",3.8827137957533
"Darwin","G11",3.57500966253488
"Darwin","G11",3.70852267902079
"Darwin","G11",3.43031487162624
"Darwin","G11",3.22226476436272
"Darwin","G11",3.654811621494
"Darwin","G11",3.72126543077085
"Darwin","G11",3.64885462424886
"Darwin","G11",3.73962693302122
"Darwin","G11",3.57844676791647
"Darwin","G11",3.52548756901013
"Darwin","G11",3.65952769190541
"Darwin","G11",3.65375457625767
"Darwin","G11",3.74212217471248
"Darwin","G11",3.51531569422322
"Darwin","G11",3.33345078732876
"Griffith","G2",3.6375469698218
"Griffith","G2",3.85953181044539
"Griffith","G2",3.62649740895555
"Griffith","G2",3.48540168731452
